title,author,length
Into the Multiverse,John Corwin,Length: 12 hrs and 38 mins
Break for Me,Ember Nicole,Length: 9 hrs and 46 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Summer Romance,Annabel Monaghan,Length: 8 hrs and 27 mins
Tress of the Emerald Sea,Brandon Sanderson,Length: 12 hrs and 27 mins
On Call,Anthony Fauci M.D.,Length: 19 hrs and 12 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
Holy Spirit: The Curse Breaker,David Diga Hernandez,Length: 3 hrs and 10 mins
Fair Play,"Tove Jansson,Thomas Teal",Length: 2 hrs and 23 mins
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Famous Last Words,John Carson,Length: 4 hrs and 20 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Social Skills for Teens Decoded,Yudelkis Murray,Length: 4 hrs and 9 mins
Emperor's End,Kyle Kirrin,Length: 16 hrs and 18 mins
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Length: 8 hrs and 25 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Harry Potter and the Order of the Phoenix (Narrated by Stephen Fry),J.K. Rowling,Length: 29 hrs and 1 min
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Secrets of a Billionaire,Eva Winners,Length: 10 hrs and 58 mins
You Like It Darker,Stephen King,Length: 20 hrs and 21 mins
Restless Stars,"Caroline Peckham,Susanne Valenti",Length: 34 hrs and 26 mins
Mushoku Tensei,Rifujin na Magonote,Length: 8 hrs
The Coldest Case: The Past Has a Long Memory,"James Patterson,Aaron Tracy,Ryan Silbert",Length: 3 hrs and 41 mins
Behind Closed Doors,Ken Khachigian,Length: 16 hrs and 37 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
Murder at Cleve College,Merryn Allingham,Length: 7 hrs and 23 mins
The Reckoning,"Caroline Peckham,Susanne Valenti",Length: 17 hrs and 40 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Demon of Unrest,Erik Larson,Length: 17 hrs and 18 mins
The Value of Others,Orion Taraban,Length: 12 hrs and 38 mins
An Unfinished Love Story,Doris Kearns Goodwin,Length: 17 hrs and 38 mins
Ask Not,Maureen Callahan,Length: 11 hrs and 18 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
Method Acting,N.R. Walker,Length: 6 hrs and 42 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Heaven's River,Dennis E. Taylor,Length: 16 hrs and 57 mins
Wrath of Iron,Chris Wraight,Length: 12 hrs and 29 mins
The Anxious Generation,Jonathan Haidt,Length: 10 hrs and 32 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The Witch of Webs,pirateaba,Length: 45 hrs and 53 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs and 3 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
Unhumans,"Jack Posobiec,Joshua Lisec",Length: 10 hrs and 1 min
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 39 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Forgiving What You Can't Forget,Lysa TerKeurst,Length: 8 hrs and 20 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
Dead Man's Trail,Donna Ball,Length: 7 hrs and 33 mins
The Finish Line,Kate Stewart,Length: 14 hrs and 39 mins
Where the Conflict Really Lies,Alvin Plantinga,Length: 12 hrs and 43 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
"Low Love, Low Fidelity",Love Belvin,Length: 12 hrs and 30 mins
The Future Was Now,Chris Nashawaty,Length: 9 hrs and 4 mins
The Sovranos Box Set,L. Steele,Length: 95 hrs and 12 mins
Slow Dance,Rainbow Rowell,Length: 11 hrs and 31 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
Capital Murder,Brad Pierce,Length: 8 hrs and 38 mins
"Chrysalis, Books 1-3",RinoZ,Length: 54 hrs and 41 mins
Supercommunicators,Charles Duhigg,Length: 7 hrs and 28 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 54 mins
Nuclear War,Annie Jacobsen,Length: 11 hrs and 19 mins
Democracy at Risk: The Dangers of Project 2025,J. E. Fowlers,Length: 2 hrs and 32 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
The Grandest Game,Jennifer Lynn Barnes,Length: 10 hrs and 12 mins
The Cliffs: Reese's Book Club,J. Courtney Sullivan,Length: 15 hrs and 25 mins
The Midnight Feast,Lucy Foley,Length: 10 hrs and 20 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Suiting Up,Lykanthropy,Length: 14 hrs and 19 mins
Last Horizons,Peter Hathaway Capstick,Length: 10 hrs and 9 mins
A Discovery of Witches,Deborah Harkness,Length: 23 hrs and 59 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Just My Luck,Lena Hendrix,Length: 8 hrs and 29 mins
The Entrepreneur’s Edge,Kimberly Burk Cordova,Length: 9 hrs and 29 mins
Camino Ghosts,John Grisham,Length: 10 hrs and 17 mins
Son Of The Hero King 2,Hikaru Genji,Length: 28 hrs and 1 min
Look on the Bright Side,Kristan Higgins,Length: 12 hrs and 34 mins
The Witches of Scotland: The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 4 hrs and 7 mins
A World Made New: A Channeled Text,Paul Selig,Length: 9 hrs and 15 mins
Murder at the White Palace,Allison Montclair,Length: 10 hrs and 22 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
The Adversary,"Torsten Weitze,Tim Casey - translator",Length: 22 hrs and 44 mins
How Highly Effective People Speak,Julia Arias,Length: 3 hrs and 7 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Casting Forward,Steve Ramirez,Length: 8 hrs and 2 mins
The Conversation Code,Matt Brooks,Length: 4 hrs and 43 mins
He Who Fights with Monsters 7,"Shirtaloon,Travis Deverell",Length: 18 hrs and 39 mins
The Moonstone Brooch,Katherine Lowry Logan,Length: 26 hrs and 47 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Look on the Bright Side,Kristan Higgins,Length: 12 hrs and 34 mins
The Witches of Scotland: The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 4 hrs and 7 mins
A World Made New: A Channeled Text,Paul Selig,Length: 9 hrs and 15 mins
Murder at the White Palace,Allison Montclair,Length: 10 hrs and 22 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
The Adversary,"Torsten Weitze,Tim Casey - translator",Length: 22 hrs and 44 mins
How Highly Effective People Speak,Julia Arias,Length: 3 hrs and 7 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Casting Forward,Steve Ramirez,Length: 8 hrs and 2 mins
The Conversation Code,Matt Brooks,Length: 4 hrs and 43 mins
The Moonstone Brooch,Katherine Lowry Logan,Length: 26 hrs and 47 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Don't Believe Everything You Think,Joseph Nguyen,Length: 2 hrs and 16 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
Savage Son,Jack Carr,Length: 12 hrs and 56 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 13 hrs and 52 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
Winning the War in Your Mind,Craig Groeschel,Length: 4 hrs and 59 mins
The Book of Elsewhere,"Keanu Reeves,China Miéville",Length: 12 hrs and 1 min
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
The Echo on the Water,JA Huss,Length: 9 hrs and 22 mins
Devourer of Men,Nikki St. Crowe,Length: 5 hrs and 19 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Just My Luck,Lena Hendrix,Length: 8 hrs and 29 mins
The Entrepreneur’s Edge,Kimberly Burk Cordova,Length: 9 hrs and 29 mins
Camino Ghosts,John Grisham,Length: 10 hrs and 17 mins
Son Of The Hero King 2,Hikaru Genji,Length: 28 hrs and 1 min
Look on the Bright Side,Kristan Higgins,Length: 12 hrs and 34 mins
The Witches of Scotland: The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 4 hrs and 7 mins
A World Made New: A Channeled Text,Paul Selig,Length: 9 hrs and 15 mins
Murder at the White Palace,Allison Montclair,Length: 10 hrs and 22 mins
